Timestamp,Frame_ID,Predicted_Class,Confidence_Score,Processing_Time_ms
2026-06-04 22:31:06.503,4,0,100.00,37.65
2026-06-04 22:31:06.541,5,0,100.00,33.38
2026-06-04 22:31:06.576,6,0,99.99,30.89
2026-06-04 22:31:06.615,7,0,99.99,36.13
2026-06-04 22:31:06.650,8,0,99.98,30.89
2026-06-04 22:31:06.684,9,0,70.42,32.16
2026-06-04 22:31:06.717,10,0,70.42,29.22
2026-06-04 22:31:06.755,11,0,80.22,34.30
2026-06-04 22:31:06.782,12,1,99.99,24.92
2026-06-04 22:31:06.812,13,1,99.99,25.06
2026-06-04 22:31:06.840,14,0,99.52,24.92
2026-06-04 22:31:06.873,15,0,99.94,29.85
2026-06-04 22:31:06.911,16,0,99.94,33.00
2026-06-04 22:31:06.946,17,0,99.99,31.07
2026-06-04 22:31:06.980,18,0,99.24,30.17
2026-06-04 22:31:07.018,19,0,100.00,33.27
2026-06-04 22:31:07.055,20,0,100.00,32.35
2026-06-04 22:31:07.086,21,0,99.99,28.13
2026-06-04 22:31:07.113,22,0,99.92,24.59
2026-06-04 22:31:07.147,23,0,99.92,30.66
2026-06-04 22:31:07.183,24,0,100.00,31.77
2026-06-04 22:31:07.213,25,0,100.00,27.55
2026-06-04 22:31:07.245,26,0,100.00,27.62
2026-06-04 22:31:07.275,27,0,99.98,27.02
2026-06-04 22:31:07.309,28,0,99.98,30.09
2026-06-04 22:31:07.347,29,0,100.00,34.23
2026-06-04 22:31:07.378,30,0,100.00,27.37
2026-06-04 22:31:07.409,31,0,100.00,28.01
2026-06-04 22:31:07.441,32,0,100.00,28.76
2026-06-04 22:31:07.473,33,0,100.00,28.88
2026-06-04 22:31:07.504,34,0,100.00,26.92
2026-06-04 22:31:07.536,35,0,100.00,28.97
2026-06-04 22:31:07.569,36,0,100.00,30.31
2026-06-04 22:31:07.601,37,0,100.00,27.96
2026-06-04 22:31:07.629,38,0,100.00,25.36
2026-06-04 22:31:07.655,39,0,100.00,24.08
2026-06-04 22:31:07.685,40,0,100.00,26.84
2026-06-04 22:31:07.716,41,0,100.00,28.68
2026-06-04 22:31:07.747,42,0,100.00,27.84
2026-06-04 22:31:07.780,43,0,100.00,28.79
2026-06-04 22:31:07.809,44,0,96.73,26.17
2026-06-04 22:31:07.841,45,0,96.73,29.04
2026-06-04 22:31:07.870,46,0,99.99,25.49
2026-06-04 22:31:07.900,47,0,84.09,25.46
2026-06-04 22:31:07.931,48,0,84.09,27.43
2026-06-04 22:31:07.966,49,0,87.46,31.65
2026-06-04 22:31:07.994,50,0,99.92,24.85
2026-06-04 22:31:08.026,51,0,99.92,28.95
2026-06-04 22:31:08.058,52,1,88.46,28.71
2026-06-04 22:31:08.092,53,1,88.46,30.95
2026-06-04 22:31:08.121,54,0,99.98,26.11
2026-06-04 22:31:08.152,55,0,99.98,27.89
2026-06-04 22:31:08.180,56,1,91.66,24.85
2026-06-04 22:31:08.210,57,1,99.89,26.45
2026-06-04 22:31:08.239,58,1,99.89,25.44
2026-06-04 22:31:08.266,59,1,61.62,23.97
2026-06-04 22:31:08.293,60,1,61.62,23.86
2026-06-04 22:31:08.326,61,0,89.91,28.96
2026-06-04 22:31:08.356,62,1,59.89,27.34
2026-06-04 22:31:08.387,63,1,59.89,26.21
2026-06-04 22:31:08.419,64,1,99.54,29.11
2026-06-04 22:31:08.453,65,0,99.97,30.75
2026-06-04 22:31:08.488,66,0,99.97,30.16
2026-06-04 22:31:08.516,67,0,97.39,23.21
2026-06-04 22:31:08.546,68,0,97.39,27.04
2026-06-04 22:31:08.575,69,0,76.96,25.03
2026-06-04 22:31:08.603,70,0,99.96,24.87
2026-06-04 22:31:08.633,71,0,99.96,27.01
2026-06-04 22:31:08.667,72,0,97.95,27.04
2026-06-04 22:31:08.697,73,0,97.95,26.60
2026-06-04 22:31:08.725,74,0,100.00,25.41
2026-06-04 22:31:08.752,75,0,99.99,24.80
2026-06-04 22:31:08.782,76,0,99.99,26.23
2026-06-04 22:31:08.813,77,0,94.55,27.36
2026-06-04 22:31:08.842,78,0,94.55,25.94
2026-06-04 22:31:08.871,79,0,100.00,26.12
2026-06-04 22:31:08.903,80,0,100.00,28.61
2026-06-04 22:31:08.936,81,0,100.00,29.82
2026-06-04 22:31:08.969,82,0,99.96,29.78
2026-06-04 22:31:08.997,83,0,99.96,26.10
2026-06-04 22:31:09.030,84,0,100.00,29.83
2026-06-04 22:31:09.063,85,0,100.00,30.44
2026-06-04 22:31:09.095,86,0,100.00,28.01
2026-06-04 22:31:09.126,87,0,99.98,28.66
2026-06-04 22:31:09.159,88,0,100.00,29.84
2026-06-04 22:31:09.193,89,0,100.00,30.29
2026-06-04 22:31:09.223,90,0,100.00,26.78
2026-06-04 22:31:09.257,91,0,100.00,31.00
2026-06-04 22:31:09.286,92,0,100.00,26.25
2026-06-04 22:31:09.318,93,0,100.00,28.23
2026-06-04 22:31:09.350,94,0,100.00,27.23
2026-06-04 22:31:09.378,95,0,100.00,25.97
2026-06-04 22:31:09.411,96,0,100.00,29.11
2026-06-04 22:31:09.446,97,0,100.00,31.74
2026-06-04 22:31:09.479,98,0,100.00,29.56
2026-06-04 22:31:09.509,99,0,100.00,26.15
2026-06-04 22:31:09.542,100,0,100.00,29.87
2026-06-04 22:31:09.576,101,0,100.00,29.20
2026-06-04 22:31:09.607,102,0,100.00,28.24
2026-06-04 22:31:09.635,103,0,100.00,25.51
2026-06-04 22:31:09.669,104,0,100.00,30.70
2026-06-04 22:31:09.699,105,0,100.00,26.97
2026-06-04 22:31:09.736,106,0,100.00,33.03
2026-06-04 22:31:09.773,107,0,99.97,34.34
2026-06-04 22:31:09.810,108,0,99.99,34.28
2026-06-04 22:31:09.842,109,0,99.99,29.32
2026-06-04 22:31:09.872,110,0,99.99,28.39
2026-06-04 22:31:09.903,111,0,100.00,27.82
2026-06-04 22:31:09.939,112,0,100.00,31.91
2026-06-04 22:31:09.970,113,0,100.00,28.56
2026-06-04 22:31:10.003,114,0,100.00,29.21
2026-06-04 22:31:10.039,115,0,100.00,32.25
2026-06-04 22:31:10.073,116,0,100.00,31.15
2026-06-04 22:31:10.104,117,0,100.00,27.90
2026-06-04 22:31:10.138,118,0,100.00,30.32
2026-06-04 22:31:10.170,119,0,91.71,29.27
2026-06-04 22:31:10.203,120,0,98.99,30.73
2026-06-04 22:31:10.238,121,0,98.99,32.55
2026-06-04 22:31:10.270,122,0,99.91,28.54
2026-06-04 22:31:10.300,123,0,98.00,26.10
2026-06-04 22:31:10.347,124,0,98.00,44.10
2026-06-04 22:31:10.381,125,0,52.01,30.33
2026-06-04 22:31:10.410,126,0,100.00,25.65
2026-06-04 22:31:10.441,127,0,100.00,26.22
2026-06-04 22:31:10.471,128,0,100.00,27.09
2026-06-04 22:31:10.503,129,0,100.00,28.31
2026-06-04 22:31:10.531,130,0,100.00,24.43
2026-06-04 22:31:10.562,131,0,100.00,26.08
2026-06-04 22:31:10.595,132,0,100.00,30.38
2026-06-04 22:31:10.631,133,0,100.00,32.95
2026-06-04 22:31:10.664,134,0,100.00,29.98
2026-06-04 22:31:10.696,135,0,99.92,28.72
2026-06-04 22:31:10.728,136,0,99.92,28.27
2026-06-04 22:31:10.763,137,0,89.14,31.98
2026-06-04 22:31:10.793,138,0,89.14,26.75
2026-06-04 22:31:10.827,139,0,99.99,31.06
2026-06-04 22:31:10.860,140,0,100.00,29.87
2026-06-04 22:31:10.899,141,0,100.00,35.77
2026-06-04 22:31:10.927,142,0,100.00,25.85
2026-06-04 22:31:10.958,143,0,100.00,27.33
2026-06-04 22:31:10.990,144,0,100.00,28.95
2026-06-04 22:31:11.025,145,0,100.00,32.23
2026-06-04 22:31:11.060,146,0,78.20,31.35
2026-06-04 22:31:11.091,147,0,100.00,27.59
2026-06-04 22:31:11.125,148,0,100.00,31.30
2026-06-04 22:31:11.156,149,0,80.82,27.12
2026-06-04 22:31:11.189,150,0,100.00,30.15
2026-06-04 22:31:11.221,151,0,100.00,28.80
2026-06-04 22:31:11.255,152,0,99.83,29.08
2026-06-04 22:31:11.285,153,0,99.83,26.77
2026-06-04 22:31:11.319,154,0,100.00,31.90
2026-06-04 22:31:11.355,155,0,100.00,32.28
2026-06-04 22:31:11.383,156,0,100.00,25.14
2026-06-04 22:31:11.412,157,0,100.00,25.29
2026-06-04 22:31:11.443,158,0,100.00,27.94
2026-06-04 22:31:11.476,159,0,100.00,29.30
2026-06-04 22:31:11.506,160,0,100.00,27.42
2026-06-04 22:31:11.540,161,0,100.00,30.08
2026-06-04 22:31:11.569,162,0,100.00,26.80
2026-06-04 22:31:11.601,163,0,100.00,28.17
2026-06-04 22:31:11.636,164,0,100.00,32.39
2026-06-04 22:31:11.667,165,0,100.00,27.23
2026-06-04 22:31:11.698,166,0,100.00,27.37
2026-06-04 22:31:11.733,167,0,100.00,31.88
2026-06-04 22:31:11.766,168,0,100.00,29.71
2026-06-04 22:31:11.797,169,0,100.00,27.28
2026-06-04 22:31:11.827,170,0,100.00,27.11
2026-06-04 22:31:11.860,171,0,99.99,30.70
2026-06-04 22:31:11.890,172,0,100.00,26.73
2026-06-04 22:31:11.921,173,0,100.00,26.47
2026-06-04 22:31:11.955,174,0,100.00,31.45
2026-06-04 22:31:11.986,175,0,100.00,28.59
2026-06-04 22:31:12.019,176,0,100.00,28.53
2026-06-04 22:31:12.053,177,0,100.00,29.86
2026-06-04 22:31:12.082,178,0,100.00,26.04
2026-06-04 22:31:12.113,179,0,100.00,27.72
2026-06-04 22:31:12.145,180,0,100.00,28.06
2026-06-04 22:31:12.177,181,0,100.00,29.22
2026-06-04 22:31:12.207,182,0,98.04,27.40
2026-06-04 22:31:12.237,183,0,100.00,26.98
2026-06-04 22:31:12.269,184,0,100.00,28.72
2026-06-04 22:31:12.300,185,0,100.00,27.11
2026-06-04 22:31:12.333,186,0,100.00,30.38
2026-06-04 22:31:12.368,187,0,100.00,30.89
2026-06-04 22:31:12.399,188,0,100.00,27.56
